Batting,,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Game_num
Cedric Mullins CF,Aug 11,4,0,2,0,0,0,4,0.263,0.322,0.391,0.713,11,8,-0.002,1.23,0.077,-0.08%,0.00%,1.33,0.3,2,0,,1
Adley Rutschman C,Aug 11,3,1,0,0,1,1,4,0.25,0.364,0.427,0.791,19,9,-0.034,1.54,0.069,-0.10%,-0.02%,1.66,-0.1,8,0,,1
Anthony Santander LF,Aug 11,4,0,0,0,0,0,4,0.259,0.339,0.459,0.797,15,11,-0.172,1.68,0,-0.17%,-0.11%,1.81,-1.4,0,0,,1
Ryan Mountcastle 1B,Aug 11,3,1,1,0,1,1,4,0.259,0.302,0.441,0.743,22,14,-0.053,1.42,0.038,-0.09%,-0.03%,1.53,-0.2,11,0,,1
Terrin Vavra DH,Aug 11,4,1,2,2,0,1,4,0.37,0.455,0.481,0.936,10,8,0.173,1.4,0.248,-0.08%,0.11%,1.5,2,,,3B,1
Austin Hays RF,Aug 11,4,0,1,1,0,0,4,0.261,0.317,0.434,0.751,17,12,-0.068,1.97,0.141,-0.21%,-0.04%,2.13,-0.8,1,0,GDP,1
Rougned Odor 2B,Aug 11,4,0,0,0,0,0,4,0.194,0.256,0.371,0.627,11,9,-0.13,1.25,0,-0.13%,-0.08%,1.34,-0.8,0,6,,1
Ramon Urias 3B,Aug 11,4,0,1,0,0,2,4,0.246,0.291,0.423,0.715,16,12,-0.028,1.05,0.043,-0.07%,-0.02%,1.13,-0.4,0,2,,1
Jorge Mateo SS,Aug 11,4,0,1,0,0,1,4,0.218,0.267,0.389,0.657,13,8,-0.036,1.55,0.08,-0.12%,-0.02%,1.67,-0.2,2,5,SB,1
Cedric Mullins CF,Aug 12,6,1,3,2,0,0,6,0.266,0.324,0.399,0.723,22,12,-0.02,0.58,0.064,-0.08%,-0.01%,0.7,1.1,2,0,"HR,CS",1
Adley Rutschman C,Aug 12,3,1,1,2,1,1,5,0.251,0.365,0.439,0.804,18,10,0.085,0.47,0.109,-0.02%,0.06%,0.56,0.5,11,0,"HR,SF",1
Ryan Mountcastle 1B,Aug 12,5,0,0,0,0,0,5,0.255,0.299,0.435,0.734,19,15,-0.032,0.27,0,-0.03%,-0.02%,0.32,-0.9,9,0,,1
Anthony Santander DH,Aug 12,5,2,3,0,0,1,5,0.263,0.342,0.463,0.805,11,10,0.03,0.22,0.039,-0.01%,0.02%,0.26,0.7,,,2B,1
Terrin Vavra LF,Aug 12,3,0,0,0,0,1,3,0.333,0.417,0.433,0.85,10,7,-0.055,0.64,0,-0.06%,-0.04%,0.77,-0.8,3,0,,1
Austin Hays RF,Aug 12,4,2,2,0,1,1,5,0.263,0.32,0.437,0.757,19,11,-0.021,0.36,0.008,-0.03%,-0.01%,0.43,0.5,0,0,2B,1
Rougned Odor 2B,Aug 12,5,2,4,2,0,1,5,0.203,0.264,0.378,0.642,15,12,0.071,0.39,0.083,-0.01%,0.05%,0.47,3,0,4,,1
Ramon Urias 3B,Aug 12,3,0,1,2,0,0,5,0.246,0.29,0.423,0.712,11,9,0.021,0.31,0.031,-0.01%,0.01%,0.37,-0.3,0,2,2·SF,1
Jorge Mateo SS,Aug 12,5,2,5,2,0,0,5,0.23,0.277,0.404,0.681,11,7,0.172,0.48,0.175,0.00%,0.12%,0.58,2.7,2,3,"2·2B,CS",1
Ryan McKenna CF,Aug 13,4,0,1,0,0,1,4,0.257,0.309,0.372,0.681,20,14,-0.071,1.3,0.031,-0.10%,-0.05%,1.61,-0.8,2,0,,1
Anthony Santander LF,Aug 13,4,0,1,0,1,0,5,0.263,0.342,0.461,0.803,20,13,-0.017,0.96,0.052,-0.07%,-0.01%,1.18,-0.3,2,0,,1
Ryan Mountcastle 1B,Aug 13,4,0,0,0,0,0,5,0.253,0.298,0.43,0.728,18,11,-0.121,1,0,-0.12%,-0.09%,1.24,-1.2,2,0,HBP,1
Adley Rutschman DH,Aug 13,5,0,1,0,0,2,5,0.25,0.362,0.439,0.8,17,10,-0.047,0.47,0.009,-0.06%,-0.03%,0.58,-0.6,,,2B,1
Ramon Urias 3B,Aug 13,4,1,1,0,0,1,4,0.247,0.289,0.424,0.713,12,8,0.033,0.58,0.068,-0.04%,0.02%,0.72,0.1,0,3,2B,1
Austin Hays RF,Aug 13,4,0,0,0,0,0,4,0.26,0.317,0.432,0.75,14,11,-0.088,0.79,0,-0.09%,-0.07%,0.97,-0.9,4,0,,1
Jorge Mateo SS,Aug 13,3,1,1,0,1,1,4,0.231,0.28,0.403,0.683,17,9,0.081,0.8,0.1,-0.02%,0.06%,0.99,0.6,1,0,,1
Rougned Odor 2B,Aug 13,3,0,2,1,1,0,4,0.208,0.269,0.381,0.65,14,7,0.089,0.93,0.129,-0.04%,0.07%,1.15,1,4,0,SB,1
Robinson Chirinos C,Aug 13,4,0,2,1,0,2,4,0.181,0.269,0.29,0.559,14,11,0.055,1.11,0.096,-0.04%,0.04%,1.38,0.4,9,0,,1
Cedric Mullins CF,Aug 14,4,0,0,0,0,3,4,0.264,0.322,0.395,0.717,13,10,-0.076,0.77,0,-0.08%,-0.06%,0.92,-0.9,1,1,,1
Adley Rutschman C,Aug 14,4,0,0,0,0,1,4,0.246,0.356,0.431,0.787,12,8,-0.047,0.47,0,-0.05%,-0.03%,0.56,-0.7,12,0,,1
Anthony Santander DH,Aug 14,3,0,0,0,0,1,3,0.261,0.34,0.457,0.797,12,10,-0.021,0.29,0,-0.02%,-0.01%,0.34,-0.3,,,,1
Ramon Urias 3B,Aug 14,3,0,0,0,0,0,3,0.244,0.287,0.419,0.706,5,4,-0.054,0.74,0,-0.05%,-0.04%,0.89,-0.6,0,0,,1
Rougned Odor 2B,Aug 14,3,0,0,0,0,2,3,0.206,0.267,0.377,0.644,16,10,-0.035,0.48,0,-0.04%,-0.03%,0.57,-0.4,2,3,,1
Austin Hays LF,Aug 14,3,0,0,0,0,1,3,0.258,0.315,0.429,0.744,13,8,-0.021,0.27,0,-0.02%,-0.01%,0.33,-0.3,1,0,,1
Jorge Mateo SS,Aug 14,3,1,1,0,0,0,3,0.231,0.28,0.406,0.686,5,5,-0.022,0.57,0.019,-0.04%,-0.02%,0.68,0.5,0,1,2B,1
Tyler Nevin 1B,Aug 14,2,0,0,0,0,0,2,0.201,0.303,0.268,0.571,5,4,-0.026,0.53,0,-0.03%,-0.02%,0.63,-0.3,6,0,,1
Brett Phillips RF,Aug 14,3,0,0,0,0,1,3,0.145,0.218,0.25,0.468,13,9,0.005,0.33,0.021,-0.02%,0.00%,0.4,0.2,2,0,,1
Ryan McKenna CF,Aug 15,5,1,3,1,0,0,5,0.271,0.32,0.398,0.719,12,9,0.117,0.68,0.143,-0.03%,0.08%,0.8,1.8,3,0,2·2B,1
Adley Rutschman C,Aug 15,4,0,1,1,0,2,5,0.246,0.354,0.428,0.782,17,11,-0.046,0.58,0.014,-0.06%,-0.03%,0.68,-0.1,10,0,SF,1
Anthony Santander RF,Aug 15,3,1,1,1,2,1,5,0.262,0.343,0.456,0.799,24,12,0.076,0.48,0.104,-0.03%,0.05%,0.57,-0.5,1,0,GDP,1
Ryan Mountcastle 1B,Aug 15,3,2,1,2,2,2,5,0.253,0.301,0.437,0.739,30,16,0.224,0.5,0.234,-0.01%,0.16%,0.59,1.9,7,0,HR,1
Ramon Urias 3B,Aug 15,4,0,1,0,0,1,4,0.244,0.286,0.417,0.703,11,10,-0.031,0.63,0.017,-0.05%,-0.02%,0.74,-0.1,0,2,,1
Austin Hays LF,Aug 15,4,0,0,0,0,1,4,0.256,0.312,0.425,0.737,17,8,-0.068,0.76,0,-0.07%,-0.05%,0.89,-1.2,2,0,,1
Jorge Mateo SS,Aug 15,3,1,1,0,1,0,4,0.232,0.282,0.405,0.687,20,12,0.066,0.83,0.086,-0.02%,0.05%,0.97,1.2,1,4,,1
Terrin Vavra 2B,Aug 15,2,1,0,1,1,0,4,0.294,0.381,0.382,0.763,17,12,0.015,0.68,0.035,-0.02%,0.01%,0.8,-0.6,3,3,SF,1
Tyler Nevin DH,Aug 15,2,0,0,1,0,0,2,0.199,0.299,0.265,0.564,6,4,0.064,0.97,0.074,-0.01%,0.04%,1.14,0.7,,,,1
Cedric Mullins CF,Aug 16,5,1,1,1,0,0,5,0.263,0.32,0.4,0.72,19,14,0.058,0.74,0.132,-0.07%,0.04%,0.92,0.1,0,0,"HR,SB",1
Adley Rutschman C,Aug 16,4,1,2,1,1,1,5,0.25,0.358,0.442,0.8,15,8,0.143,0.66,0.172,-0.03%,0.11%,0.82,1.1,8,2,HR,1
Anthony Santander DH,Aug 16,4,0,0,0,1,2,5,0.259,0.341,0.452,0.793,21,14,-0.071,0.75,0.012,-0.08%,-0.05%,0.94,-1,,,,1
Ryan Mountcastle 1B,Aug 16,5,0,0,0,0,1,5,0.25,0.298,0.432,0.729,18,13,-0.102,0.8,0,-0.10%,-0.08%,0.99,-1.2,15,0,,1
Terrin Vavra LF,Aug 16,2,1,0,0,1,1,3,0.278,0.378,0.361,0.739,11,6,-0.004,0.87,0.037,-0.04%,0.00%,1.07,-0.1,0,0,,1
Rougned Odor 2B,Aug 16,4,0,1,0,0,1,4,0.206,0.266,0.374,0.64,16,10,-0.034,0.8,0.015,-0.05%,-0.03%,0.99,-0.4,2,5,,1
Ramon Urias 3B,Aug 16,4,1,2,1,0,1,4,0.247,0.289,0.418,0.707,11,8,0.146,0.85,0.181,-0.04%,0.11%,1.05,0.8,0,0,,1
Jorge Mateo SS,Aug 16,3,0,0,0,1,1,4,0.23,0.282,0.402,0.684,19,11,-0.056,0.97,0.008,-0.07%,-0.04%,1.2,-0.6,1,9,,1
Ryan McKenna RF,Aug 16,3,0,1,1,1,0,4,0.273,0.326,0.397,0.722,15,8,0.11,0.88,0.145,-0.04%,0.08%,1.09,1.2,0,0,,1
Cedric Mullins CF,Aug 17,4,0,1,0,0,2,4,0.263,0.32,0.399,0.719,14,11,0.001,0.96,0.06,-0.06%,0.00%,1.26,-0.6,2,0,,1
Anthony Santander DH,Aug 17,4,0,0,0,0,0,4,0.257,0.338,0.447,0.786,12,7,-0.061,1,0,-0.06%,-0.05%,1.31,-0.7,,,,1
Ryan Mountcastle 1B,Aug 17,4,0,0,0,0,2,4,0.248,0.295,0.428,0.722,9,8,-0.076,0.79,0,-0.08%,-0.06%,1.03,-0.7,7,0,,1
Austin Hays RF,Aug 17,4,0,0,0,0,3,4,0.253,0.309,0.419,0.728,24,19,-0.124,1.19,0,-0.12%,-0.10%,1.56,-0.9,5,0,,1
Ramon Urias 3B,Aug 17,3,0,0,0,0,0,3,0.245,0.286,0.414,0.7,13,8,-0.04,0.54,0,-0.04%,-0.03%,0.71,-0.5,0,2,,1
Ryan McKenna LF,Aug 17,2,0,0,0,0,1,2,0.268,0.321,0.39,0.711,4,4,-0.025,0.49,0,-0.03%,-0.02%,0.64,-0.2,3,0,,1
Rougned Odor 2B,Aug 17,3,0,1,0,0,1,3,0.207,0.267,0.374,0.641,9,6,-0.052,0.83,0.006,-0.06%,-0.04%,1.09,-0.1,1,2,,1
Jorge Mateo SS,Aug 17,3,0,0,0,0,1,3,0.228,0.28,0.398,0.678,9,8,-0.047,0.67,0,-0.05%,-0.04%,0.88,-0.6,0,1,,1
Robinson Chirinos C,Aug 17,3,0,1,1,0,0,3,0.184,0.27,0.291,0.561,9,6,-0.022,0.42,0.007,-0.03%,-0.02%,0.55,0.7,6,0,,1
Cedric Mullins CF,Aug 18,4,1,1,0,1,1,5,0.263,0.321,0.402,0.722,18,11,-0.33,2.35,0.079,-0.41%,-0.20%,2.4,-0.9,5,0,3B,1
Adley Rutschman C,Aug 18,2,1,0,0,2,0,4,0.248,0.36,0.438,0.798,18,8,0.031,1.42,0.113,-0.08%,0.02%,1.46,0.3,2,0,,1
Ryan Mountcastle 1B,Aug 18,3,0,1,1,1,1,4,0.248,0.297,0.427,0.724,16,8,0.23,2.19,0.285,-0.06%,0.14%,2.24,1.2,8,0,,1
Anthony Santander DH,Aug 18,3,0,0,1,0,1,4,0.255,0.335,0.444,0.78,17,9,-0.105,1.86,0,-0.11%,-0.06%,1.91,-0.7,,,SF,1
Ramon Urias 3B,Aug 18,4,0,1,0,0,0,4,0.245,0.286,0.412,0.697,12,8,-0.22,1.77,0.035,-0.26%,-0.14%,1.81,-0.8,1,5,,1
Terrin Vavra RF,Aug 18,2,0,0,0,0,2,2,0.282,0.375,0.359,0.734,9,7,-0.046,0.92,0,-0.05%,-0.03%,0.94,-0.4,1,0,,1
Austin Hays LF,Aug 18,4,0,1,0,0,1,4,0.253,0.308,0.42,0.728,19,14,0.131,1.66,0.19,-0.06%,0.08%,1.69,0.5,6,0,2B,1
Rougned Odor 2B,Aug 18,4,0,1,0,0,0,4,0.207,0.266,0.372,0.639,14,9,-0.119,2.36,0.064,-0.18%,-0.07%,2.42,-0.2,1,2,,1
Jorge Mateo SS,Aug 18,4,0,1,0,0,0,4,0.229,0.279,0.397,0.676,13,7,-0.016,2.21,0.125,-0.14%,-0.01%,2.26,-0.6,1,1,,1
Cedric Mullins CF,Aug 19,3,2,2,0,2,0,5,0.265,0.325,0.408,0.733,22,10,0.084,0.34,0.093,-0.01%,0.05%,0.37,1.2,4,0,2·2B,1
Adley Rutschman C,Aug 19,5,3,3,2,0,1,5,0.255,0.364,0.457,0.821,20,11,0.177,0.8,0.222,-0.05%,0.11%,0.86,2.3,9,1,"HR,2B",1
Anthony Santander DH,Aug 19,5,3,3,4,0,0,5,0.259,0.338,0.456,0.794,17,10,0.233,0.83,0.269,-0.04%,0.15%,0.89,2.4,,,"HR,2B",1
Ryan Mountcastle 1B,Aug 19,5,2,2,3,0,0,5,0.25,0.298,0.434,0.732,11,10,0.03,0.5,0.083,-0.05%,0.02%,0.54,2.2,3,2,HR,1
Kyle Stowers RF,Aug 19,5,1,2,0,0,1,5,0.25,0.308,0.333,0.641,18,13,-0.007,0.36,0.023,-0.03%,0.00%,0.38,-0.3,3,0,,1
Austin Hays LF,Aug 19,4,1,3,1,1,1,5,0.257,0.314,0.428,0.742,20,13,0.124,0.41,0.124,0.00%,0.08%,0.44,2.1,2,0,2·2B,1
Rougned Odor 2B,Aug 19,4,0,0,1,0,2,5,0.205,0.263,0.368,0.631,19,14,-0.053,0.6,0,-0.05%,-0.03%,0.64,-1.6,2,0,SF,1
Ramon Urias 3B,Aug 19,4,2,2,1,0,0,5,0.248,0.29,0.423,0.713,24,14,0.111,0.47,0.128,-0.02%,0.07%,0.51,0.9,0,1,"HR,HBP",1
Jorge Mateo SS,Aug 19,5,1,1,3,0,1,5,0.228,0.278,0.402,0.681,17,14,0.272,0.58,0.299,-0.03%,0.18%,0.62,1.9,2,3,HR,1
Austin Hays LF,Aug 20,4,0,1,0,0,1,4,0.257,0.313,0.426,0.74,15,10,-0.066,1.12,0.03,-0.10%,-0.04%,1.26,-0.3,3,0,,1
Adley Rutschman DH,Aug 20,4,0,2,0,0,0,4,0.259,0.366,0.458,0.824,12,8,0.034,1.23,0.094,-0.06%,0.02%,1.38,0,,,,1
Anthony Santander RF,Aug 20,3,0,0,0,1,1,4,0.257,0.338,0.452,0.79,16,11,-0.1,1.52,0.025,-0.13%,-0.07%,1.71,-0.5,1,0,,1
Ryan Mountcastle 1B,Aug 20,4,0,1,0,0,2,4,0.25,0.298,0.432,0.73,12,10,-0.123,1.4,0.015,-0.14%,-0.08%,1.57,-0.8,6,1,,1
Ramon Urias 2B,Aug 20,4,1,2,0,0,1,4,0.252,0.293,0.424,0.716,15,9,0.013,1.19,0.086,-0.07%,0.01%,1.33,0.3,1,2,,1
Jorge Mateo SS,Aug 20,4,2,2,0,0,1,4,0.231,0.281,0.409,0.689,14,9,0.23,1.59,0.299,-0.07%,0.15%,1.79,1.9,1,4,3B,1
Ryan McKenna CF,Aug 20,2,0,0,0,0,1,2,0.26,0.312,0.378,0.69,7,5,-0.077,1.09,0,-0.08%,-0.05%,1.23,-0.7,4,0,GDP,1
Tyler Nevin 3B,Aug 20,2,0,0,0,0,0,2,0.196,0.296,0.261,0.558,8,5,-0.041,0.81,0,-0.04%,-0.03%,0.91,-0.3,0,0,,1
Robinson Chirinos C,Aug 20,3,0,0,0,0,1,3,0.18,0.265,0.286,0.551,11,9,-0.068,0.89,0,-0.07%,-0.04%,1,-0.5,10,0,,1
Cedric Mullins CF,Aug 21,5,1,1,0,0,3,5,0.265,0.324,0.406,0.73,18,14,-0.037,0.74,0.035,-0.07%,-0.02%,0.77,-0.7,2,0,,1
Adley Rutschman C,Aug 21,4,1,1,0,1,2,5,0.259,0.366,0.455,0.821,25,16,0,0.73,0.055,-0.06%,0%,0.76,0.1,7,0,,1
Anthony Santander DH,Aug 21,5,0,3,1,0,0,5,0.261,0.34,0.456,0.797,18,11,0.127,0.72,0.147,-0.02%,0.08%,0.76,1,,,2B,1
Ryan Mountcastle 1B,Aug 21,4,0,0,0,0,1,4,0.248,0.295,0.428,0.723,14,11,-0.101,1.04,0,-0.10%,-0.06%,1.09,-1.2,8,1,,1
Kyle Stowers LF,Aug 21,4,0,0,0,0,4,4,0.167,0.211,0.222,0.433,20,12,-0.144,1.24,0,-0.14%,-0.09%,1.29,-1.4,3,0,,1
Ramon Urias 3B,Aug 21,3,0,1,1,1,1,4,0.252,0.295,0.423,0.718,19,10,0.096,1.08,0.131,-0.04%,0.06%,1.14,0.8,2,1,,1
Austin Hays RF,Aug 21,2,1,0,0,1,0,4,0.256,0.315,0.424,0.739,15,7,0.03,1.13,0.074,-0.04%,0.02%,1.18,-0.1,2,0,HBP,1
Rougned Odor 2B,Aug 21,1,1,0,0,2,1,4,0.203,0.267,0.365,0.631,20,8,0.116,1.39,0.135,-0.02%,0.07%,1.46,0.8,1,2,HBP,1
Jorge Mateo SS,Aug 21,4,0,2,3,0,1,4,0.234,0.283,0.412,0.695,18,13,0.167,1.9,0.22,-0.05%,0.10%,1.99,1.7,1,4,2B,1
Cedric Mullins CF,Aug 23,3,2,1,0,1,1,4,0.265,0.326,0.405,0.731,15,8,0.06,0.88,0.097,-0.04%,0.04%,1.01,0.5,3,0,,1
Adley Rutschman C,Aug 23,2,1,0,0,2,0,4,0.257,0.368,0.451,0.819,24,13,0.038,0.85,0.083,-0.05%,0.03%,0.98,0.2,6,0,,1
Anthony Santander DH,Aug 23,4,0,1,1,0,1,4,0.261,0.34,0.455,0.794,15,9,0.018,1.03,0.099,-0.08%,0.01%,1.19,0,,,,1
Ryan Mountcastle 1B,Aug 23,4,1,1,3,0,1,4,0.248,0.295,0.433,0.728,17,10,0.177,0.89,0.217,-0.04%,0.12%,1.02,1.4,7,1,HR,1
Terrin Vavra 2B,Aug 23,3,0,0,0,0,0,3,0.262,0.353,0.333,0.686,18,11,-0.051,0.66,0,-0.05%,-0.03%,0.76,-0.7,3,1,,1
Kyle Stowers RF,Aug 23,2,0,0,0,0,1,2,0.15,0.19,0.2,0.39,8,5,-0.019,0.38,0,-0.02%,-0.01%,0.43,-0.2,1,0,,1
Austin Hays LF,Aug 23,3,1,1,0,0,0,3,0.257,0.315,0.426,0.741,12,7,-0.004,0.71,0.036,-0.04%,0.00%,0.82,0,3,0,2B,1
Rougned Odor 3B,Aug 23,3,0,0,0,0,1,3,0.201,0.265,0.362,0.626,13,8,-0.053,0.74,0,-0.05%,-0.04%,0.85,-0.6,2,2,,1
Jorge Mateo SS,Aug 23,3,0,1,1,0,1,3,0.235,0.283,0.412,0.695,11,7,0.079,0.61,0.099,-0.02%,0.06%,0.7,0.8,1,4,SB,1
Cedric Mullins CF,Aug 24,4,0,2,0,0,0,4,0.267,0.327,0.408,0.735,18,10,0.078,0.82,0.113,-0.03%,0.06%,0.96,0.4,3,0,2B,1
Adley Rutschman DH,Aug 24,4,1,1,0,0,0,4,0.257,0.367,0.452,0.819,20,11,-0.058,1.26,0.076,-0.14%,-0.04%,1.47,-0.6,,,2B,1
Anthony Santander RF,Aug 24,4,0,0,0,0,2,4,0.259,0.337,0.45,0.787,13,9,-0.111,1.25,0,-0.11%,-0.08%,1.45,-0.9,2,0,,1
Ryan Mountcastle 1B,Aug 24,4,1,2,1,0,1,4,0.25,0.296,0.434,0.73,16,9,0.071,1.11,0.095,-0.02%,0.05%,1.29,0.6,12,0,,1
Austin Hays LF,Aug 24,4,1,1,2,0,1,4,0.257,0.314,0.432,0.746,14,9,-0.066,1.09,0.025,-0.09%,-0.05%,1.27,1.1,1,0,HR,1
Ramon Urias 3B,Aug 24,3,0,0,0,1,1,4,0.25,0.295,0.419,0.714,17,10,-0.005,1.25,0.068,-0.07%,0.00%,1.45,-0.1,0,2,,1
Rougned Odor 2B,Aug 24,3,0,0,0,1,0,4,0.199,0.264,0.358,0.623,14,7,0.045,1.54,0.109,-0.06%,0.03%,1.8,0.2,1,2,,1
Jorge Mateo SS,Aug 24,3,0,0,0,0,0,3,0.233,0.281,0.408,0.69,9,7,-0.298,2.15,0,-0.30%,-0.21%,2.51,-1.8,0,4,GDP,1
Robinson Chirinos C,Aug 24,2,0,0,0,1,1,3,0.178,0.266,0.282,0.549,15,9,-0.04,0.87,0.015,-0.05%,-0.03%,1.01,-0.3,8,0,,1
Cedric Mullins CF,Aug 25,4,1,1,0,0,0,5,0.267,0.328,0.407,0.734,10,6,-0.187,1.6,0.044,-0.23%,-0.12%,1.75,-0.9,3,0,"CS,HBP",1
Adley Rutschman C,Aug 25,5,1,1,0,0,0,5,0.256,0.364,0.447,0.811,27,19,0.086,1.17,0.154,-0.07%,0.06%,1.28,0.5,5,1,,1
Anthony Santander DH,Aug 25,5,1,2,3,0,0,5,0.26,0.337,0.457,0.794,22,15,0.131,1.63,0.248,-0.12%,0.09%,1.78,1.8,,,HR,1
Ryan Mountcastle 1B,Aug 25,3,0,1,0,1,2,4,0.251,0.298,0.433,0.731,19,11,-0.025,1.14,0.053,-0.08%,-0.02%,1.25,0.3,13,0,,1
Kyle Stowers RF,Aug 25,4,1,1,1,0,1,4,0.167,0.2,0.333,0.533,16,11,0.424,1.13,0.489,-0.07%,0.28%,1.24,0.3,2,0,HR,1
Austin Hays LF,Aug 25,4,0,0,0,0,3,4,0.254,0.312,0.428,0.739,16,11,-0.118,1.17,0,-0.12%,-0.08%,1.28,-0.8,2,0,,1
Terrin Vavra 2B,Aug 25,3,0,0,0,0,2,3,0.244,0.333,0.311,0.644,12,11,-0.069,0.89,0,-0.07%,-0.05%,0.98,-0.6,6,3,,1
Ramon Urias 3B,Aug 25,4,0,0,0,0,2,4,0.247,0.291,0.414,0.705,18,11,-0.286,1.11,0,-0.29%,-0.19%,1.22,-1.4,0,5,,1
Jorge Mateo SS,Aug 25,4,0,0,0,0,2,4,0.231,0.278,0.404,0.683,16,12,-0.183,1.94,0,-0.18%,-0.12%,2.13,-1,1,5,,1
Cedric Mullins CF,Aug 26,4,0,1,0,1,1,5,0.267,0.328,0.405,0.734,13,7,0.057,0.91,0.105,-0.05%,0.03%,0.93,0.4,2,0,SB,1
Adley Rutschman C,Aug 26,3,0,0,0,1,0,4,0.253,0.363,0.442,0.805,18,10,-0.015,1.04,0.034,-0.05%,-0.01%,1.06,-0.1,7,0,,1
Anthony Santander DH,Aug 26,4,0,0,0,0,1,4,0.258,0.335,0.452,0.787,19,13,-0.171,1.05,0,-0.17%,-0.10%,1.08,-1.7,,,GDP,1
Ryan Mountcastle 1B,Aug 26,4,0,0,0,0,3,4,0.248,0.296,0.429,0.725,21,13,-0.118,1.12,0,-0.12%,-0.07%,1.15,-1.1,12,0,,1
Austin Hays RF,Aug 26,4,0,1,0,0,0,4,0.254,0.311,0.426,0.737,14,8,-0.021,0.83,0.038,-0.06%,-0.01%,0.85,-0.2,4,0,,1
Kyle Stowers LF,Aug 26,3,1,2,0,1,0,4,0.222,0.276,0.37,0.646,13,7,0.064,0.81,0.083,-0.02%,0.04%,0.83,0.7,1,0,,1
Ramon Urias 3B,Aug 26,4,1,2,2,0,0,4,0.25,0.294,0.424,0.718,12,8,0.247,1.06,0.315,-0.07%,0.15%,1.08,1.2,1,4,HR,1
Rougned Odor 2B,Aug 26,3,0,1,0,1,0,4,0.203,0.269,0.363,0.632,18,8,0.006,0.92,0.053,-0.05%,0.00%,0.94,-0.1,0,3,2B,1
Jorge Mateo SS,Aug 26,4,0,0,0,0,2,4,0.228,0.276,0.4,0.676,16,12,-0.145,1.29,0,-0.15%,-0.09%,1.32,-1.4,0,2,,1
Cedric Mullins DH,Aug 27,4,0,1,0,0,1,4,0.267,0.328,0.404,0.732,18,13,0.01,0.86,0.061,-0.05%,0.01%,0.91,-0.1,,,SB,1
Adley Rutschman C,Aug 27,3,1,1,0,1,0,4,0.254,0.364,0.445,0.809,19,13,0.011,0.71,0.064,-0.05%,0.01%,0.76,0.1,6,0,2B,1
Anthony Santander LF,Aug 27,3,1,1,2,1,0,4,0.258,0.336,0.458,0.794,22,16,0.177,0.92,0.202,-0.03%,0.11%,0.98,1.3,0,0,HR,1
Ryan Mountcastle 1B,Aug 27,4,0,0,0,0,2,4,0.246,0.293,0.425,0.718,23,15,-0.076,0.83,0,-0.08%,-0.05%,0.88,-1,11,0,,1
Austin Hays RF,Aug 27,4,1,2,1,0,1,4,0.256,0.313,0.434,0.746,15,12,0.034,0.69,0.107,-0.07%,0.02%,0.74,0.3,2,0,"HR,CS",1
Ramon Urias 3B,Aug 27,3,0,0,0,1,2,4,0.248,0.293,0.42,0.713,17,8,0.01,0.52,0.038,-0.03%,0.01%,0.56,-0.3,0,3,,1
Ryan McKenna CF,Aug 27,3,0,0,0,1,2,4,0.252,0.308,0.366,0.674,17,10,-0.045,0.61,0.008,-0.05%,-0.03%,0.65,-0.4,5,0,,1
Rougned Odor 2B,Aug 27,3,0,0,0,1,1,4,0.201,0.269,0.36,0.628,18,11,-0.032,0.55,0.022,-0.05%,-0.02%,0.58,-0.6,2,2,"SB,GDP",1
Jorge Mateo SS,Aug 27,3,0,1,0,0,1,3,0.229,0.276,0.399,0.676,8,8,-0.045,0.54,0.009,-0.05%,-0.03%,0.58,-0.7,1,7,CS,1
Cedric Mullins CF,Aug 28,3,0,1,0,1,1,4,0.267,0.329,0.404,0.733,21,12,0.079,1.12,0.123,-0.04%,0.06%,1.32,0.9,3,0,SB,1
Adley Rutschman DH,Aug 28,4,0,1,0,0,2,4,0.254,0.363,0.442,0.805,13,9,-0.035,1.44,0.076,-0.11%,-0.02%,1.69,-0.2,,,SB,1
Anthony Santander LF,Aug 28,4,1,1,0,0,1,4,0.258,0.335,0.459,0.794,19,16,-0.156,1.31,0.025,-0.18%,-0.11%,1.54,-1.3,0,0,2B,1
Ryan Mountcastle 1B,Aug 28,4,0,0,0,0,2,4,0.244,0.291,0.421,0.712,17,11,-0.136,1.14,0,-0.14%,-0.10%,1.33,-1.4,8,2,,1
Austin Hays RF,Aug 28,4,0,1,1,0,1,4,0.256,0.312,0.432,0.744,15,13,-0.094,1.18,0.022,-0.12%,-0.07%,1.39,-0.1,1,0,,1
Ramon Urias 3B,Aug 28,3,0,0,0,0,2,3,0.246,0.291,0.416,0.707,16,10,-0.064,0.86,0,-0.06%,-0.04%,1.01,-0.5,1,2,,1
Rougned Odor 2B,Aug 28,4,0,0,0,0,2,4,0.199,0.266,0.356,0.622,19,12,-0.137,1.36,0,-0.14%,-0.10%,1.59,-0.9,2,1,,1
Jorge Mateo SS,Aug 28,3,0,1,0,0,2,3,0.23,0.277,0.402,0.678,16,10,-0.068,0.9,0,-0.07%,-0.05%,1.06,-0.5,1,3,2B,1
Robinson Chirinos C,Aug 28,2,0,1,0,1,0,3,0.182,0.273,0.285,0.558,9,3,0.034,0.83,0.057,-0.02%,0.02%,0.97,0.3,6,0,,1
