Batting,,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Game_num
Trey Mancini DH,Jul 28,4,1,2,2,0,1,4,0.271,0.346,0.411,0.757,10,9,0.061,0.87,0.113,-0.05%,0.03%,0.7,1.3,,,HR,1
Anthony Santander RF,Jul 28,4,0,2,1,0,1,4,0.246,0.33,0.435,0.765,10,8,0.114,0.8,0.144,-0.03%,0.06%,0.64,0.8,1,0,2B,1
Ryan Mountcastle 1B,Jul 28,4,0,0,0,0,3,4,0.257,0.296,0.444,0.74,25,18,-0.08,0.75,0,-0.08%,-0.04%,0.61,-0.9,7,1,,1
Ramon Urias 2B,Jul 28,3,0,0,0,0,1,3,0.261,0.302,0.454,0.756,9,6,-0.066,0.84,0,-0.07%,-0.03%,0.68,-0.7,2,2,,1
Tyler Nevin 3B,Jul 28,2,0,1,0,0,0,2,0.204,0.313,0.27,0.583,6,5,0.011,0.63,0.026,-0.02%,0.01%,0.51,0.1,2,0,,1
Jorge Mateo SS,Jul 28,3,0,0,0,0,2,3,0.213,0.262,0.367,0.628,8,7,-0.053,0.72,0,-0.05%,-0.03%,0.58,-0.5,0,2,,1
Ryan McKenna CF,Jul 28,3,0,0,0,0,1,3,0.247,0.302,0.34,0.642,12,10,-0.054,0.68,0,-0.05%,-0.03%,0.55,-0.6,2,0,,1
Robinson Chirinos C,Jul 28,3,0,0,0,0,1,3,0.154,0.247,0.252,0.499,7,7,-0.053,0.71,0,-0.05%,-0.03%,0.57,-0.6,9,1,,1
Cedric Mullins CF,Jul 29,5,1,1,2,0,0,5,0.259,0.321,0.385,0.706,11,10,0.072,1.57,0.212,-0.14%,0.03%,1.21,0.2,3,0,SB,1
Adley Rutschman C,Jul 29,4,1,1,0,1,1,5,0.24,0.34,0.432,0.771,21,11,0.013,0.92,0.072,-0.06%,0.01%,0.71,0.1,11,1,,1
